index,showTime,danmuType,color,fontSize,content,submitTime,sender
"294","401.295","R2L","FFFFFF","25","就是要扯淡，才安全","1519096877","485a57f6"
"295","402.79","R2L","FFFFFF","25","前面的，人家lv.60的怨念，会怕你个新手村的小号？？？","1512405818","8ba44615"
"296","404.714","R2L","FFFFFF","25","一个声音高叫着：爬出来吧，给你自由！","1515322866","f9679a90"
"297","400.484","R2L","FFFFFF","25","第一代的鬼害死后面的人后吸收了后面人的怨恨之后第一代只会越来越强大","1512409409","dcab22ba"
"298","402.986","R2L","00CD00","25","贞子是双性人 小说里有讲过","1558689269","f92d5e3c"
"299","402.417","R2L","FFFFFF","25","感觉日本的鬼片都这样，吓人程度挺好的吧，但不要试图理解它😳😂","1526704867","4bc5a66e"
"300","395.475","R2L","FFFFFF","25","同样的感觉","1512382793","8bed6d4a"
"301","398.186","R2L","FFFFFF","25","贞子本来就是想报复社会，她童年太惨了","1516789770","18253f77"
"302","397.022","R2L","E70012","25","滚你丫的护眼，不敢看不要看","1512411081","d6d019e8"
"303","390.312","R2L","FF0000","25","贞子活着的时候就可以在无数人面前用超能力，非常厉害","1531660916","b312795"
"304","389.271","R2L","FFFFFF","25","说起这个就气","1548149762","c1bd95ca"
"305","390.517","R2L","FFFFFF","25","日本的鬼就是这样无辜也要死","1512466735","87030bf4"
